8,4,9,5,7,2,10,3,6,1,game_id,home_away
moram002,hairj002,richc001,conij001,andeb001,fordb001,deshd001,segud001,bordm001,mercj001,BAL200105250,home
kaplg001,cataf001,mater001,camik001,greer001,rodri001,galaa001,palmr001,rodra001,mahop001,BAL200105250,away
richc001,hairj002,andeb001,ripkc001,conij001,fordb001,myerg001,segud001,bordm001,ponss001,BAL200105270,home
kaplg001,younm003,mater001,camik001,greer001,rodri001,cataf001,palmr001,rodra001,glynr001,BAL200105270,away
moram002,hairj002,richc001,ripkc001,conij001,fordb001,kinkm001,segud001,bordm001,towej001,BAL200105280,home
kaplg001,younm003,cataf001,shels001,greer001,rodri001,palmr001,galaa001,rodra001,rogek001,BAL200105280,away
moram002,hairj002,richc001,ripkc001,andeb001,lunaf001,conij001,segud001,bordm001,towej001,BAL200106080,home
bradm001,blumg001,guerv001,mordm001,jonet004,barrm003,traca001,stevl001,cabro001,blanm001,BAL200106080,away
moram002,hairj002,andeb001,ripkc001,deshd001,lunaf001,segud001,conij001,bordm001,robew001,BAL200106090,home
bradm001,blumg001,guerv001,traca001,jonet004,barrm003,pridc001,stevl001,cabro001,yoshm001,BAL200106090,away
andeb001,hairj002,conij001,ripkc001,deshd001,fordb001,myerg001,segud001,moram002,johnj007,BAL200106100,home
bradm001,blumg001,guerv001,traca001,jonet004,barrm003,pridc001,stevl001,cabro001,vazqj001,BAL200106100,away
moram002,hairj002,andeb001,conij001,deshd001,fordb001,gibbj002,segud001,bordm001,mercj001,BAL200106120,home
shint001,alfoe001,peret004,ventr001,agbab001,piazm001,johnm001,zeilt001,ordor001,reedr002,BAL200106120,away
moram002,hairj002,andeb001,ripkc001,kinkm001,lunaf001,conij001,segud001,bordm001,ponss001,BAL200106130,home
shint001,alfoe001,peret004,ventr001,hamid001,pratt001,piazm001,zeilt001,ordor001,ruscg001,BAL200106130,away
moram002,hairj002,richc001,conij001,andeb001,fordb001,segud001,gibbj002,robeb003,towej001,BAL200106140,home
shint001,relad001,johnm001,ventr001,agbab001,pratt001,piazm001,zeilt001,ordor001,tracs001,BAL200106140,away
moram002,hairj002,richc001,conij001,andeb001,fordb001,gibbj002,segud001,robeb003,ponss001,BAL200106180,home
cruzj004,bushh001,mondr002,batit001,stews002,fletd001,fullb001,delgc001,gonza001,parrs001,BAL200106180,away
richc001,robeb003,andeb001,ripkc001,conij001,fordb001,gibbj002,segud001,moram002,towej001,BAL200106190,home
cruzj004,bushh001,mondr002,batit001,stews002,fletd001,fullb001,delgc001,gonza001,hamij002,BAL200106190,away
deshd001,robeb003,conij001,ripkc001,kinkm001,lunaf001,gibbj002,segud001,moram002,robew001,BAL200106200,home
cruzj004,bushh001,mondr002,fryej001,stews002,fletd001,fullb001,delgc001,gonza001,carpc002,BAL200106200,away
moram002,hairj002,andeb001,ripkc001,gibbj002,fordb001,segud001,conij001,robeb003,johnj007,BAL200106210,home
singc001,durhr001,ordom001,liefj001,lee-c001,johnm003,cansj001,konep001,clayr001,wellk001,BAL200106210,away
moram002,hairj002,conij001,ripkc001,kinkm001,lunaf001,deshd001,segud001,robeb003,mercj001,BAL200106220,home
singc001,durhr001,ordom001,perrh001,lee-c001,aloms001,cansj001,konep001,clayr001,welld001,BAL200106220,away
moram002,hairj002,andeb001,ripkc001,kinkm001,fordb001,conij001,segud001,robeb003,ponss001,BAL200106230,home
singc001,durhr001,ordom001,perrh001,lee-c001,johnm003,cansj001,konep001,clayr001,buehm001,BAL200106230,away
