game_id,var,value
ANA200105050,oscorer,munse701
ANA200105050,temp,72
ANA200105050,winddir,ltor
ANA200105050,windspeed,9
ANA200105050,fieldcond,unknown
ANA200105050,precip,unknown
ANA200105050,sky,sunny
ANA200105050,timeofgame,169
ANA200105050,attendance,24758
ANA200105050,wp,weavj002
ANA200105050,lp,ortir002
ANA200105050,save,
ANA200105050,hometeam_score,2
ANA200105050,awayteam_score,11
ANA200105060,visteam,DET
ANA200105060,hometeam,ANA
ANA200105060,site,ANA01
ANA200105060,date,5/6/01
ANA200105060,number,0
ANA200105060,starttime,1:07PM
ANA200105060,daynight,day
ANA200105060,usedh,TRUE
ANA200105060,umphome,nelsj901
ANA200105060,ump1b,phild901
ANA200105060,ump2b,cousd901
ANA200105060,ump3b,brinj901
ANA200105060,howscored,park
ANA200105060,pitches,pitches
ANA200105060,oscorer,munse701
ANA200105060,temp,80
ANA200105060,winddir,ltor
ANA200105060,windspeed,7
ANA200105060,fieldcond,unknown
ANA200105060,precip,unknown
ANA200105060,sky,sunny
ANA200105060,timeofgame,176
ANA200105060,attendance,29353
ANA200105060,wp,levia001
ANA200105060,lp,pattd001
ANA200105060,save,
ANA200105060,hometeam_score,2
ANA200105060,awayteam_score,2
ANA200105150,visteam,TOR
ANA200105150,hometeam,ANA
ANA200105150,site,ANA01
ANA200105150,date,5/15/01
ANA200105150,number,0
ANA200105150,starttime,7:08PM
ANA200105150,daynight,night
ANA200105150,usedh,TRUE
ANA200105150,umphome,cuzzp901
ANA200105150,ump1b,bonig901
ANA200105150,ump2b,froeb901
ANA200105150,ump3b,mealj901
ANA200105150,howscored,park
ANA200105150,pitches,pitches
ANA200105150,oscorer,munse701
ANA200105150,temp,66
ANA200105150,winddir,ltor
ANA200105150,windspeed,5
ANA200105150,fieldcond,unknown
ANA200105150,precip,unknown
ANA200105150,sky,sunny
ANA200105150,timeofgame,160
ANA200105150,attendance,15904
ANA200105150,wp,michc001
ANA200105150,lp,valdi001
ANA200105150,save,
ANA200105150,hometeam_score,2
ANA200105150,awayteam_score,9
ANA200105160,visteam,TOR
ANA200105160,hometeam,ANA
ANA200105160,site,ANA01
ANA200105160,date,5/16/01
ANA200105160,number,0
ANA200105160,starttime,7:07PM
ANA200105160,daynight,night
ANA200105160,usedh,TRUE
ANA200105160,umphome,bonig901
ANA200105160,ump1b,froeb901
ANA200105160,ump2b,mealj901
ANA200105160,ump3b,cuzzp901
ANA200105160,howscored,park
ANA200105160,pitches,pitches
ANA200105160,oscorer,munse701
ANA200105160,temp,75
ANA200105160,winddir,ltor
ANA200105160,windspeed,7
ANA200105160,fieldcond,unknown
ANA200105160,precip,unknown
ANA200105160,sky,sunny
ANA200105160,timeofgame,171
ANA200105160,attendance,15611
ANA200105160,wp,schos001
ANA200105160,lp,parrs001
ANA200105160,save,perct001
ANA200105160,hometeam_score,3
ANA200105160,awayteam_score,1
ANA200105170,visteam,TOR
ANA200105170,hometeam,ANA
ANA200105170,site,ANA01
ANA200105170,date,5/17/01
ANA200105170,number,0
ANA200105170,starttime,7:06PM
ANA200105170,daynight,night
ANA200105170,usedh,TRUE
ANA200105170,umphome,froeb901
ANA200105170,ump1b,mealj901
ANA200105170,ump2b,cuzzp901
ANA200105170,ump3b,bonig901
ANA200105170,howscored,park
ANA200105170,pitches,pitches
ANA200105170,oscorer,munse701
ANA200105170,temp,67
ANA200105170,winddir,ltor
ANA200105170,windspeed,5
ANA200105170,fieldcond,unknown
ANA200105170,precip,unknown
ANA200105170,sky,sunny
ANA200105170,timeofgame,157
ANA200105170,attendance,15204
ANA200105170,wp,hases001
ANA200105170,lp,escok001
ANA200105170,save,perct001
ANA200105170,hometeam_score,4
ANA200105170,awayteam_score,2
ANA200105180,visteam,CLE
ANA200105180,hometeam,ANA
ANA200105180,site,ANA01
ANA200105180,date,5/18/01
ANA200105180,number,0
ANA200105180,starttime,7:08PM
ANA200105180,daynight,night
ANA200105180,usedh,TRUE
ANA200105180,umphome,gibsg901
ANA200105180,ump1b,demud901
ANA200105180,ump2b,relic901
ANA200105180,ump3b,danlk901
ANA200105180,howscored,park
ANA200105180,pitches,pitches
ANA200105180,oscorer,munse701
ANA200105180,temp,66
ANA200105180,winddir,ltor
ANA200105180,windspeed,4
ANA200105180,fieldcond,unknown
ANA200105180,precip,unknown
ANA200105180,sky,overcast
ANA200105180,timeofgame,182
ANA200105180,attendance,39177
ANA200105180,wp,burbd001
ANA200105180,lp,rappp001
ANA200105180,save,
ANA200105180,hometeam_score,2
ANA200105180,awayteam_score,7
ANA200105190,visteam,CLE
ANA200105190,hometeam,ANA
ANA200105190,site,ANA01
ANA200105190,date,5/19/01
ANA200105190,number,0
ANA200105190,starttime,7:06PM
ANA200105190,daynight,night
